===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2017-07-13 20:13:59
count workspace : c:\Users\kowal\Documents\Git\kowax-experiment-legacy
total files : 538
total code lines : 68236
total comment lines : 11524
total blank lines : 2128

.classpath, code is 21, comment is 0, blank is 0.
.gitignore, code is 6, comment is 0, blank is 0.
.gitignore~, code is 3, comment is 0, blank is 0.
.project, code is 29, comment is 0, blank is 0.
.settings\org.eclipse.jdt.core.prefs, code is 13, comment is 0, blank is 0.
.settings\org.eclipse.m2e.core.prefs, code is 4, comment is 0, blank is 0.
dependency-reduced-pom.xml, code is 153, comment is 0, blank is 1.
pom.xml, code is 169, comment is 10, blank is 0.
src\com\xspacesoft\kowax\apis\KernelAccess.java, code is 5, comment is 0, blank is 4.
src\com\xspacesoft\kowax\apis\KWindow.java, code is 12, comment is 0, blank is 10.
src\com\xspacesoft\kowax\apis\Pipeline.java, code is 4, comment is 0, blank is 4.
src\com\xspacesoft\kowax\apis\RegistrableComponent.java, code is 3, comment is 3, blank is 3.
src\com\xspacesoft\kowax\apis\Service.java, code is 7, comment is 0, blank is 6.
src\com\xspacesoft\kowax\apis\SystemEventsListener.java, code is 7, comment is 3, blank is 4.
src\com\xspacesoft\kowax\application.icns, it is a binary file.
src\com\xspacesoft\kowax\application.ico, it is a binary file.
src\com\xspacesoft\kowax\build.properties, code is 12, comment is 0, blank is 0.
src\com\xspacesoft\kowax\BuildGet.java, code is 22, comment is 1, blank is 8.
src\com\xspacesoft\kowax\Core.java, code is 375, comment is 41, blank is 34.
src\com\xspacesoft\kowax\DefaultPlugins.java, code is 39, comment is 4, blank is 2.
src\com\xspacesoft\kowax\eula.txt, code is 9, comment is 0, blank is 2.
src\com\xspacesoft\kowax\exceptions\DuplicateElementException.java, code is 15, comment is 4, blank is 7.
src\com\xspacesoft\kowax\exceptions\InsufficientPermissionsException.java, code is 4, comment is 0, blank is 3.
src\com\xspacesoft\kowax\exceptions\MissingPluginCodeException.java, code is 19, comment is 8, blank is 8.
src\com\xspacesoft\kowax\exceptions\UnsupportedIntentException.java, code is 4, comment is 0, blank is 3.
src\com\xspacesoft\kowax\kernel\AliasManager.java, code is 82, comment is 61, blank is 17.
src\com\xspacesoft\kowax\kernel\ApiManager.java, code is 63, comment is 0, blank is 11.
src\com\xspacesoft\kowax\kernel\DisplayManager.java, code is 5, comment is 0, blank is 4.
src\com\xspacesoft\kowax\kernel\ExplorerInterface.java, code is 9, comment is 0, blank is 6.
src\com\xspacesoft\kowax\kernel\HostPlatform.java, code is 7, comment is 0, blank is 1.
src\com\xspacesoft\kowax\kernel\io\InputReader.java, code is 11, comment is 0, blank is 9.
src\com\xspacesoft\kowax\kernel\io\OutputWriter.java, code is 18, comment is 0, blank is 18.
src\com\xspacesoft\kowax\kernel\io\Stdio.java, code is 80, comment is 0, blank is 24.
src\com\xspacesoft\kowax\kernel\MacroManager.java, code is 29, comment is 1, blank is 10.
src\com\xspacesoft\kowax\kernel\PluginBase.java, code is 20, comment is 7, blank is 8.
src\com\xspacesoft\kowax\kernel\PluginManager.java, code is 140, comment is 10, blank is 20.
src\com\xspacesoft\kowax\kernel\SystemApi.java, code is 13, comment is 0, blank is 2.
src\com\xspacesoft\kowax\kernel\SystemEvent.java, code is 9, comment is 1, blank is 1.
src\com\xspacesoft\kowax\kernel\TaskManager.java, code is 82, comment is 9, blank is 23.
src\com\xspacesoft\kowax\kernel\TokenKey.java, code is 35, comment is 0, blank is 13.
src\com\xspacesoft\kowax\kernel\UsersManager.java, code is 196, comment is 0, blank is 37.
src\com\xspacesoft\kowax\Logwolf.java, code is 100, comment is 0, blank is 23.
src\com\xspacesoft\kowax\Main.java, code is 93, comment is 4, blank is 7.
src\com\xspacesoft\kowax\OptionsParser.java, code is 37, comment is 26, blank is 7.
src\com\xspacesoft\kowax\Pause.java, code is 35, comment is 0, blank is 6.
src\com\xspacesoft\kowax\plugins\.gitignore, code is 0, comment is 0, blank is 0.
src\com\xspacesoft\kowax\plugins\AppExample.java, code is 47, comment is 3, blank is 18.
src\com\xspacesoft\kowax\plugins\BusyBox.java, code is 209, comment is 1, blank is 24.
src\com\xspacesoft\kowax\plugins\CronTab.java, code is 186, comment is 3, blank is 44.
src\com\xspacesoft\kowax\plugins\DenialService.java, code is 419, comment is 2, blank is 44.
src\com\xspacesoft\kowax\plugins\Echo.java, code is 30, comment is 0, blank is 9.
src\com\xspacesoft\kowax\plugins\Escalator.java, code is 28, comment is 0, blank is 7.
src\com\xspacesoft\kowax\plugins\Fortune.java, code is 119, comment is 5, blank is 23.
src\com\xspacesoft\kowax\plugins\HivemindControl.java, code is 339, comment is 2, blank is 53.
src\com\xspacesoft\kowax\plugins\Kalculator.java, code is 145, comment is 9, blank is 20.
src\com\xspacesoft\kowax\plugins\Kalendar.java, code is 58, comment is 2, blank is 17.
src\com\xspacesoft\kowax\plugins\KAuthenticator.java, code is 114, comment is 3, blank is 22.
src\com\xspacesoft\kowax\plugins\KowaxExplorer.java, code is 302, comment is 5, blank is 31.
src\com\xspacesoft\kowax\plugins\KowaxUpdater.java, code is 263, comment is 11, blank is 29.
src\com\xspacesoft\kowax\plugins\KWindowManager.java, code is 93, comment is 0, blank is 25.
src\com\xspacesoft\kowax\plugins\Man.java, code is 32, comment is 1, blank is 9.
src\com\xspacesoft\kowax\plugins\No.java, code is 30, comment is 0, blank is 9.
src\com\xspacesoft\kowax\plugins\ServiceManager.java, code is 124, comment is 0, blank is 14.
src\com\xspacesoft\kowax\plugins\Yes.java, code is 30, comment is 0, blank is 9.
src\com\xspacesoft\kowax\SetupWizard.java, code is 179, comment is 0, blank is 14.
src\com\xspacesoft\kowax\shell\CommandRunner.java, code is 201, comment is 36, blank is 23.
src\com\xspacesoft\kowax\shell\Session.java, code is 62, comment is 35, blank is 18.
src\com\xspacesoft\kowax\shell\ShellIO.java, code is 235, comment is 0, blank is 36.
src\com\xspacesoft\kowax\shell\ShellServer.java, code is 122, comment is 4, blank is 12.
src\com\xspacesoft\kowax\Splash.png, it is a binary file.
src\com\xspacesoft\kowax\SystemFolder.java, code is 9, comment is 0, blank is 1.
src\com\xspacesoft\kowax\telegram\TelegramServer.java, code is 542, comment is 17, blank is 74.
src\com\xspacesoft\kowax\tray.gif, it is a binary file.
src\com\xspacesoft\kowax\TrayHelper.java, code is 70, comment is 5, blank is 6.
src\com\xspacesoft\kowax\windowsystem\DisplayManager.java, code is 9, comment is 0, blank is 6.
src\com\xspacesoft\kowax\windowsystem\HtmlDataLoader.java, code is 21, comment is 0, blank is 5.
src\com\xspacesoft\kowax\windowsystem\HttpBuilder.java, code is 34, comment is 0, blank is 5.
src\com\xspacesoft\kowax\windowsystem\kenvironment\KowaxDesktopEnvironment.java, code is 31, comment is 7, blank is 11.
src\com\xspacesoft\kowax\windowsystem\kenvironment\KowaxDisplayManager.java, code is 290, comment is 16, blank is 33.
src\com\xspacesoft\kowax\windowsystem\kenvironment\KowaxWindowManager.java, code is 107, comment is 0, blank is 14.
src\com\xspacesoft\kowax\windowsystem\kenvironment\package-info.java, code is 1, comment is 7, blank is 0.
src\com\xspacesoft\kowax\windowsystem\KowaxDirectDraw.java, code is 145, comment is 11, blank is 20.
src\com\xspacesoft\kowax\windowsystem\package-info.java, code is 1, comment is 7, blank is 0.
src\com\xspacesoft\kowax\windowsystem\WindowManager.java, code is 10, comment is 0, blank is 3.
src\com\xspacesoft\kowax\windowsystem\windows\Window.java, code is 70, comment is 0, blank is 23.
src\rebel.xml, code is 7, comment is 0, blank is 2.
target\apidocs\allclasses-frame.html, code is 91, comment is 2, blank is 0.
target\apidocs\allclasses-noframe.html, code is 91, comment is 2, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\class-use\KernelAccess.html, code is 224, comment is 40, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\class-use\KWindow.html, code is 243, comment is 40, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\class-use\Pipeline.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\class-use\RegistrableComponent.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\class-use\Service.html, code is 246, comment is 40, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\class-use\SystemEventsListener.html, code is 183, comment is 39, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\KernelAccess.html, code is 188, comment is 43, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\KWindow.html, code is 268, comment is 50, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\package-frame.html, code is 24, comment is 2, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\package-summary.html, code is 130, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\package-tree.html, code is 104, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\package-use.html, code is 245, comment is 42, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\Pipeline.html, code is 180, comment is 43, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\RegistrableComponent.html, code is 131, comment is 38, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\Service.html, code is 220, comment is 46, blank is 0.
target\apidocs\com\xspacesoft\kowax\apis\SystemEventsListener.html, code is 207, comment is 44, blank is 0.
target\apidocs\com\xspacesoft\kowax\BuildGet.html, code is 236, comment is 50, blank is 0.
target\apidocs\com\xspacesoft\kowax\class-use\BuildGet.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\class-use\Core.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\class-use\DefaultPlugins.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\class-use\Logwolf.html, code is 129, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\class-use\Main.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\class-use\OptionsParser.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\class-use\Pause.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\class-use\SetupWizard.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\class-use\Splash.html, code is 151, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\class-use\SystemFolder.html, code is 153, comment is 37, blank is 0.
target\apidocs\com\xspacesoft\kowax\class-use\TrayHelper.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\Core.html, code is 523, comment is 73, blank is 0.
target\apidocs\com\xspacesoft\kowax\DefaultPlugins.html, code is 224, comment is 49, blank is 0.
target\apidocs\com\xspacesoft\kowax\exceptions\class-use\DuplicateElementException.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\exceptions\class-use\InsufficientPermissionsException.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\exceptions\class-use\MissingPluginCodeException.html, code is 156, comment is 38, blank is 0.
target\apidocs\com\xspacesoft\kowax\exceptions\class-use\UnsupportedIntentException.html, code is 90, comment is 36, blank is 0.
target\apidocs\com\xspacesoft\kowax\exceptions\DuplicateElementException.html, code is 262, comment is 50, blank is 0.
